tenant_id,request_idx,ttft_ms,mean_itl_ms,p50_itl_ms,p95_itl_ms,p99_itl_ms,e2e_ms,num_output_tokens,start_time
tenant_A,1166,74.29,13.9,11.67,44.64,47.77,1839.19,128,1781912442.511
tenant_A,231,68.48,13.67,11.71,34.22,48.56,1804.27,128,1781911969.135
tenant_A,25,71.98,13.21,11.84,12.38,47.43,1749.53,128,1781911863.103
tenant_A,102,92.58,13.73,11.78,37.31,48.16,1835.79,128,1781911902.061
tenant_A,353,113.54,13.53,11.82,14.09,48.77,1831.39,128,1781912025.524
tenant_A,153,68.48,16.08,12.06,46.35,75.58,2110.67,128,1781911927.981
tenant_A,227,110.78,14.6,12.2,41.52,56.56,1965.42,128,1781911967.25
tenant_A,284,72.5,13.49,11.82,14.61,47.75,1785.54,128,1781911991.321
tenant_A,425,106.66,11.99,11.39,12.04,36.71,1629.7,128,1781912067.759
tenant_A,488,74.51,14.5,11.85,44.62,47.81,1916.57,128,1781912097.122
tenant_A,544,106.54,13.19,11.86,12.63,48.07,1782.3,128,1781912121.162
tenant_A,635,72.9,13.62,11.66,35.52,47.4,1802.31,128,1781912170.121
tenant_A,754,63.17,12.56,11.36,12.22,46.85,1657.88,128,1781912229.192
tenant_A,794,105.26,13.64,11.72,13.51,50.51,1837.74,128,1781912250.722
tenant_A,1028,75.92,13.58,11.69,35.26,47.52,1800.77,128,1781912361.471
tenant_A,285,110.33,13.2,11.83,13.89,47.42,1786.74,128,1781911991.332
tenant_A,366,75.19,13.44,11.77,12.36,47.78,1781.7,128,1781912034.862
tenant_A,501,66.56,13.33,11.7,12.79,46.94,1760.0,128,1781912102.767
tenant_A,21,72.26,14.06,11.87,13.45,73.0,1858.31,128,1781911858.852
tenant_A,96,104.8,13.89,12.08,34.38,45.02,1869.23,128,1781911899.236
tenant_A,226,73.03,15.69,12.21,44.52,57.47,2066.19,128,1781911966.961
tenant_A,292,77.09,13.48,11.87,12.94,47.49,1789.18,128,1781911993.881
tenant_A,462,71.15,13.09,11.84,13.3,42.86,1733.45,128,1781912087.401
tenant_A,559,71.09,14.51,11.82,45.62,46.86,1913.47,128,1781912129.965
tenant_A,661,70.81,14.16,11.71,43.72,48.61,1869.23,128,1781912181.035
tenant_A,788,101.04,13.38,11.73,12.71,47.88,1800.6,128,1781912248.396
tenant_A,1045,68.03,13.43,11.82,13.12,45.76,1773.63,128,1781912368.684
tenant_A,22,129.72,13.56,11.92,12.76,47.52,1852.41,128,1781911859.29
tenant_A,99,64.56,13.33,11.98,12.77,47.45,1758.05,128,1781911900.012
tenant_A,164,68.99,13.81,11.83,36.71,47.91,1823.32,128,1781911933.038
tenant_A,268,70.64,14.89,11.94,45.55,48.25,1962.26,128,1781911984.229
