request_id,client_id,tenant_id,slo_class,session_id,round_index,prefix_group,prefix_length,streaming,input_tokens,output_tokens,text_tokens,image_tokens,audio_tokens,video_tokens,reason_ratio,model,deadline_us,server_input_tokens,arrival_time_us,send_time_us,first_chunk_time_us,last_chunk_time_us,num_chunks,status,error_message,finish_reason,x_request_id
0,tenant_E,tenant_E,,,0,,0,true,1024,128,0,0,0,0,0,,0,965,8532,1782190085846168,1782190085916123,1782190088090442,130,ok,,length,25ab5ff2-5cb2-4a87-a76e-0a8e513aa9dc
1,tenant_A,tenant_A,,,0,,0,true,1024,128,0,0,0,0,0,,0,1010,253045,1782190086090818,1782190086151394,1782190088485722,130,ok,,length,72aa6734-2bcd-4da5-b4d2-06f1e7b8f727
2,tenant_C,tenant_C,,,0,,0,true,1024,128,0,0,0,0,0,,0,1001,295084,1782190086133121,1782190086204129,1782190088511693,130,ok,,length,ca4ba2e3-1529-46fe-86ee-02e83f8e1316
3,tenant_A,tenant_A,,,0,,0,true,1024,128,0,0,0,0,0,,0,987,393163,1782190086231183,1782190086291807,1782190088575968,130,ok,,length,cb5cb88b-1789-4314-b721-089c5d121b07
4,tenant_B,tenant_B,,,0,,0,true,1024,128,0,0,0,0,0,,0,996,442852,1782190086280539,1782190086346747,1782190088601650,130,ok,,length,db131412-2d75-4f9a-89d7-7901a62e080e
5,tenant_A,tenant_A,,,0,,0,true,1024,128,0,0,0,0,0,,0,1000,501239,1782190086338741,1782190086400883,1782190088626960,130,ok,,length,7efb479f-8cc8-49f5-8db4-47437417566d
6,tenant_D,tenant_D,,,0,,0,true,1024,128,0,0,0,0,0,,0,978,731688,1782190086569291,1782190086630314,1782190088904416,130,ok,,length,79a6b4b6-8731-4c65-9d3d-ac6795e4b68a
7,tenant_D,tenant_D,,,0,,0,true,1024,128,0,0,0,0,0,,0,1003,766458,1782190086604210,1782190086684971,1782190088929706,130,ok,,length,bf85c329-bd78-4986-99f3-5f695591724a
8,tenant_E,tenant_E,,,0,,0,true,1024,128,0,0,0,0,0,,0,995,1025194,1782190086863210,1782190086982833,1782190089191888,130,ok,,length,8f1104f6-83e1-4dcb-b8d0-d7477b9e5b60
9,tenant_B,tenant_B,,,0,,0,true,1024,128,0,0,0,0,0,,0,977,1028077,1782190086865932,1782190086982905,1782190089191912,130,ok,,length,65ce2b86-50f2-4927-aeac-74f273eb6ebb
10,tenant_C,tenant_C,,,0,,0,true,1024,128,0,0,0,0,0,,0,985,1079221,1782190086916740,1782190087017174,1782190089204500,130,ok,,length,daaa6b68-ef6d-464a-9732-943e8004893a
11,tenant_C,tenant_C,,,0,,0,true,1024,128,0,0,0,0,0,,0,977,1143155,1782190086980318,1782190087073247,1782190089229898,130,ok,,length,f2eca0ec-196e-4e80-b042-494030ca5aa1
12,tenant_E,tenant_E,,,0,,0,true,1024,128,0,0,0,0,0,,0,970,1204665,1782190087042010,1782190087129171,1782190089255324,130,ok,,length,a5585e67-3d02-4c32-96ae-c6bd59264bb6
13,tenant_D,tenant_D,,,0,,0,true,1024,128,0,0,0,0,0,,0,968,1467958,1782190087305431,1782190087367939,1782190089500577,130,ok,,length,f0f7969b-287d-489a-afe5-c69c3983c230
14,tenant_D,tenant_D,,,0,,0,true,1024,128,0,0,0,0,0,,0,982,1474838,1782190087312448,1782190087414329,1782190089512741,130,ok,,length,6f50f301-7e6f-41f4-8907-f0053d641812
15,tenant_C,tenant_C,,,0,,0,true,1024,128,0,0,0,0,0,,0,992,1629088,1782190087466637,1782190087530165,1782190089701625,130,ok,,length,6b9fe551-e1f9-4e34-adc1-2e356ce7be19
16,tenant_D,tenant_D,,,0,,0,true,1024,128,0,0,0,0,0,,0,976,1689974,1782190087527243,1782190087611149,1782190089770335,130,ok,,length,99903a93-c5a9-4833-9078-697534bb62de
17,tenant_E,tenant_E,,,0,,0,true,1024,128,0,0,0,0,0,,0,1004,1742072,1782190087579957,1782190087645938,1782190089783017,130,ok,,length,6a900541-6486-4f4d-8b0d-e679679efdad
18,tenant_B,tenant_B,,,0,,0,true,1024,128,0,0,0,0,0,,0,1011,1821521,1782190087659062,1782190087735609,1782190089929174,130,ok,,length,0e5209d6-a9fd-453f-a643-b8ca933464cf
19,tenant_C,tenant_C,,,0,,0,true,1024,128,0,0,0,0,0,,0,975,1942640,1782190087780061,1782190087841439,1782190090006435,130,ok,,length,6cbcf1a6-5d05-4a48-92a2-0947f7fac56e
20,tenant_D,tenant_D,,,0,,0,true,1024,128,0,0,0,0,0,,0,990,2066249,1782190087903849,1782190087973952,1782190090108805,130,ok,,length,f3635e7f-7942-4761-8f8b-7767d05d2c21
21,tenant_B,tenant_B,,,0,,0,true,1024,128,0,0,0,0,0,,0,989,2274976,1782190088112848,1782190088183788,1782190090462300,130,ok,,length,7dfabceb-6675-4ddc-bddd-4052ee6a1cf0
22,tenant_D,tenant_D,,,0,,0,true,1024,128,0,0,0,0,0,,0,991,2349112,1782190088187040,1782190088254218,1782190090537303,130,ok,,length,2b3d494f-1278-42d3-8667-844623cbc591
23,tenant_A,tenant_A,,,0,,0,true,1024,128,0,0,0,0,0,,0,1001,2425373,1782190088263477,1782190088336531,1782190090588722,130,ok,,length,76744598-5028-4ae4-9f4a-5764753438cd
24,tenant_D,tenant_D,,,0,,0,true,1024,128,0,0,0,0,0,,0,980,2438332,1782190088275369,1782190088381549,1782190090601795,130,ok,,length,2ed03289-428b-48a1-a9c4-9be6fdffa6db
25,tenant_B,tenant_B,,,0,,0,true,1024,128,0,0,0,0,0,,0,1001,2533996,1782190088371857,1782190088446768,1782190090627172,130,ok,,length,c69fc3b0-b3bb-4526-8914-8f2a241d4765
26,tenant_E,tenant_E,,,0,,0,true,1024,128,0,0,0,0,0,,0,988,2774237,1782190088611965,1782190088681523,1782190090914354,130,ok,,length,64faff3c-c5d5-4846-8898-d2d45726044c
27,tenant_E,tenant_E,,,0,,0,true,1024,128,0,0,0,0,0,,0,982,2931949,1782190088769519,1782190088839667,1782190091071339,130,ok,,length,fb1b786e-5bb9-4c0e-9e02-acc11c0ac8b5
28,tenant_C,tenant_C,,,0,,0,true,1024,128,0,0,0,0,0,,0,1004,3138047,1782190088975609,1782190089049886,1782190091249668,130,ok,,length,c63c1c5f-0ed8-4d62-a389-be24fcd220dc
29,tenant_C,tenant_C,,,0,,0,true,1024,128,0,0,0,0,0,,0,1011,3547743,1782190089385050,1782190089462238,1782190091903819,130,ok,,length,85ac612a-4f92-46b7-b76e-0c4bdedb232c
30,tenant_D,tenant_D,,,0,,0,true,1024,128,0,0,0,0,0,,0,1013,3676091,1782190089513861,1782190089585488,1782190092099964,130,ok,,length,5a44a647-f663-47c7-b5fe-28f64202fc5c
31,tenant_E,tenant_E,,,0,,0,true,1024,128,0,0,0,0,0,,0,988,3713013,1782190089551086,1782190089641226,1782190092126310,130,ok,,length,7414b6d5-1494-46ec-bcbe-daf65e96ad09
32,tenant_D,tenant_D,,,0,,0,true,1024,128,0,0,0,0,0,,0,1027,3792426,1782190089629788,1782190089701565,1782190092152444,130,ok,,length,7953bb27-9e26-412e-98e4-5c712ae062e8
33,tenant_B,tenant_B,,,0,,0,true,1024,128,0,0,0,0,0,,0,951,3825703,1782190089663462,1782190089757251,1782190092178384,130,ok,,length,d058cf24-07df-4478-9308-7ffcee1eec06
34,tenant_B,tenant_B,,,0,,0,true,1024,128,0,0,0,0,0,,0,986,3931157,1782190089768503,1782190089838071,1782190092263934,130,ok,,length,ddc08f89-6424-4641-b901-c8d6f09dfb12
35,tenant_B,tenant_B,,,0,,0,true,1024,128,0,0,0,0,0,,0,996,3949450,1782190089787245,1782190089883182,1782190092351095,130,ok,,length,d795e1bf-3cdd-47e1-ba50-868348fbc1c4
36,tenant_A,tenant_A,,,0,,0,true,1024,128,0,0,0,0,0,,0,994,3975794,1782190089813553,1782190089929173,1782190092363290,130,ok,,length,b7b35a22-a6b3-489c-807f-eaf8d5f83008
37,tenant_E,tenant_E,,,0,,0,true,1024,128,0,0,0,0,0,,0,1011,4254201,1782190090091266,1782190090168784,1782190092934317,130,ok,,length,95e2c05a-898a-406f-99a2-73d1832eece0
38,tenant_A,tenant_A,,,0,,0,true,1024,128,0,0,0,0,0,,0,967,4301090,1782190090138602,1782190090262424,1782190092960933,130,ok,,length,ea40a0c3-9556-4445-bd61-b4e7320ee96b
39,tenant_B,tenant_B,,,0,,0,true,1024,128,0,0,0,0,0,,0,964,4317337,1782190090155226,1782190090262438,1782190092960967,130,ok,,length,5ace22c5-b5ed-4641-b8da-c22461539217
40,tenant_E,tenant_E,,,0,,0,true,1024,128,0,0,0,0,0,,0,1020,4511543,1782190090348712,1782190090462249,1782190093093703,130,ok,,length,769ca2b8-475a-4981-b4f6-4f25dc4045ae
41,tenant_A,tenant_A,,,0,,0,true,1024,128,0,0,0,0,0,,0,963,4519103,1782190090357107,1782190090462242,1782190093093732,130,ok,,length,d7933d06-660d-4126-abc6-f6bb7d2b2bc0
42,tenant_B,tenant_B,,,0,,0,true,1024,128,0,0,0,0,0,,0,1009,4593174,1782190090431165,1782190090524198,1782190093119670,130,ok,,length,0f9a64c4-df55-4532-bc53-bbaaa8c73e81
