tenant_id,request_idx,ttft_ms,mean_itl_ms,p50_itl_ms,p95_itl_ms,p99_itl_ms,e2e_ms,num_output_tokens,start_time
tenant_A,516,74.63,18.48,12.84,48.84,84.85,2421.68,128,1782136785.295
tenant_A,549,70.74,13.84,11.91,34.61,46.79,1828.05,128,1782136816.921
tenant_A,113,77.52,12.85,12.09,12.69,44.3,1709.4,128,1782136378.75
tenant_A,199,72.54,13.61,11.98,12.95,46.4,1801.4,128,1782136468.329
tenant_A,322,70.56,15.97,12.34,44.08,78.89,2098.8,128,1782136590.265
tenant_A,591,70.86,14.63,12.23,44.29,47.4,1929.29,128,1782136850.233
tenant_A,0,146.94,15.18,12.24,41.61,45.68,2075.23,128,1782136269.412
tenant_A,150,70.39,13.55,12.02,14.57,44.68,1791.21,128,1782136418.932
tenant_A,416,66.55,14.19,11.98,35.22,48.95,1869.25,128,1782136695.476
tenant_A,596,66.72,16.43,12.11,45.49,74.2,2153.98,128,1782136854.946
tenant_A,105,72.21,15.9,12.23,44.87,49.65,2092.01,128,1782136375.027
tenant_A,602,108.12,14.79,12.25,44.14,46.28,1986.05,128,1782136859.624
tenant_A,26,72.43,13.44,12.22,13.41,44.48,1779.39,128,1782136294.887
tenant_A,8,75.87,13.84,11.97,35.7,47.1,1833.67,128,1782136277.488
tenant_A,188,75.07,17.07,12.8,47.68,76.14,2242.79,128,1782136454.053
tenant_A,232,75.96,13.25,11.87,13.42,46.38,1758.32,128,1782136506.891
tenant_A,426,106.56,13.98,12.12,34.67,47.35,1882.28,128,1782136703.694
tenant_A,504,71.85,17.47,12.61,47.83,86.87,2290.37,128,1782136776.458
tenant_A,28,114.98,12.66,11.81,12.65,45.29,1723.08,128,1782136298.491
tenant_A,102,110.74,14.28,12.21,33.8,45.61,1923.95,128,1782136372.606
tenant_A,506,78.23,17.1,12.9,47.02,73.15,2250.12,128,1782136777.24
tenant_A,2,70.68,14.28,12.22,42.06,47.64,1884.88,128,1782136271.316
tenant_A,112,118.84,13.13,12.1,12.76,44.83,1786.28,128,1782136378.639
tenant_A,415,106.1,14.23,12.13,34.5,48.93,1912.75,128,1782136694.743
tenant_A,491,74.52,14.64,12.24,44.53,47.79,1934.16,128,1782136765.022
tenant_A,140,62.82,14.87,12.26,43.43,48.62,1950.96,128,1782136412.146
tenant_A,144,73.76,13.94,12.12,34.21,45.41,1843.88,128,1782136414.199
tenant_A,321,71.17,15.69,12.36,43.67,78.89,2063.59,128,1782136589.495
tenant_A,507,122.94,17.54,12.89,47.41,48.58,2350.22,128,1782136777.896
tenant_A,68,69.19,15.36,12.26,45.41,47.18,2020.18,128,1782136341.811
tenant_A,86,71.24,13.75,11.85,13.16,48.39,1817.84,128,1782136357.566
tenant_A,152,74.82,15.0,12.21,43.86,46.96,1980.45,128,1782136421.762
tenant_A,118,74.2,15.94,12.27,45.75,47.31,2098.45,128,1782136387.33
tenant_A,156,77.29,14.33,12.28,42.32,47.06,1897.18,128,1782136426.547
tenant_A,168,74.38,17.65,12.8,48.35,70.48,2316.3,128,1782136437.018
tenant_A,420,74.08,13.91,11.99,34.34,48.41,1840.18,128,1782136698.334
tenant_A,512,75.13,15.38,12.3,44.85,47.18,2027.99,128,1782136780.687
tenant_A,182,68.72,16.16,12.29,45.48,47.53,2120.47,128,1782136446.929
tenant_A,308,74.68,15.01,12.2,45.1,48.56,1981.06,128,1782136570.85
tenant_A,497,91.14,15.4,12.73,44.21,46.68,2046.56,128,1782136770.671
tenant_A,148,68.66,15.42,12.22,45.1,47.43,2027.54,128,1782136417.047
tenant_A,169,151.32,16.16,12.77,45.96,48.53,2203.56,128,1782136437.217
tenant_A,185,89.37,15.66,11.84,46.55,77.2,2078.41,128,1782136451.519
tenant_A,601,81.95,14.79,12.26,44.14,46.07,1960.21,128,1782136859.495
tenant_A,110,100.92,13.73,12.13,12.97,45.24,1844.58,128,1782136378.557
tenant_A,147,69.77,15.16,12.21,45.06,47.55,1994.83,128,1782136416.95
tenant_A,163,67.57,12.7,11.6,13.27,45.51,1679.88,128,1782136433.068
tenant_A,195,143.02,13.11,12.11,12.9,44.25,1808.52,128,1782136458.957
tenant_A,230,117.9,14.88,12.69,35.88,50.93,2007.52,128,1782136504.616
tenant_A,132,71.11,14.59,11.88,45.72,48.92,1923.48,128,1782136406.179
tenant_A,181,73.43,15.88,12.25,45.5,47.54,2090.24,128,1782136446.731
tenant_A,244,72.62,15.23,12.01,45.99,46.63,2006.46,128,1782136516.243
tenant_A,31,70.72,14.27,12.23,43.45,45.12,1883.34,128,1782136302.837
tenant_A,124,74.11,13.66,12.07,12.92,46.82,1808.93,128,1782136395.808
tenant_A,417,65.3,15.31,12.06,46.85,49.04,2009.05,128,1782136696.054
tenant_A,151,69.11,14.93,11.91,46.04,48.61,1965.52,128,1782136421.003
tenant_A,165,74.61,16.34,12.33,46.93,47.82,2149.23,128,1782136434.848
tenant_A,200,76.69,13.61,11.94,13.83,47.0,1804.64,128,1782136470.479
tenant_A,226,74.27,20.83,13.16,49.04,70.69,2720.13,128,1782136502.293
tenant_A,326,64.8,13.74,12.23,13.25,46.06,1809.39,128,1782136594.28
tenant_A,427,67.82,13.67,12.06,13.59,47.21,1804.01,128,1782136703.914
tenant_A,89,73.06,14.14,12.0,44.14,47.08,1868.68,128,1782136360.291
tenant_A,111,136.32,13.13,12.11,12.77,44.75,1803.88,128,1782136378.621
tenant_A,172,103.34,15.84,12.61,45.03,71.65,2115.27,128,1782136438.375
tenant_A,307,62.93,15.0,12.21,45.11,49.09,1968.52,128,1782136570.551
tenant_A,424,104.05,14.02,12.07,36.26,48.53,1884.9,128,1782136702.23
tenant_A,91,82.96,14.27,12.21,44.04,45.95,1894.9,128,1782136362.193
tenant_A,520,70.95,15.67,12.03,46.66,50.25,2060.56,128,1782136790.416
tenant_A,583,64.49,14.03,12.19,13.6,46.88,1846.58,128,1782136842.36
tenant_A,123,68.29,14.21,12.14,43.66,46.94,1872.65,128,1782136395.544
tenant_A,492,74.16,14.62,12.21,44.52,47.79,1930.92,128,1782136765.576
tenant_A,547,113.2,13.99,12.49,14.86,45.05,1890.36,128,1782136815.476
tenant_A,143,65.53,14.22,12.16,43.33,45.51,1871.4,128,1782136414.089
tenant_A,517,123.25,17.94,12.84,48.57,76.32,2401.12,128,1782136785.342
tenant_A,90,74.64,14.8,12.28,44.23,46.4,1954.29,128,1782136361.891
tenant_A,162,77.24,12.26,11.68,12.42,37.62,1634.12,128,1782136432.22
tenant_A,508,75.69,16.52,12.85,47.27,48.6,2173.83,128,1782136778.45
tenant_A,586,68.03,14.59,12.28,44.62,46.0,1920.34,128,1782136847.18
tenant_A,27,69.83,12.98,11.94,12.99,45.02,1718.3,128,1782136295.554
tenant_A,32,76.98,14.0,11.78,45.82,47.68,1855.38,128,1782136305.143
tenant_A,108,68.33,13.96,12.18,34.33,46.27,1841.61,128,1782136376.484
tenant_A,125,91.07,13.39,12.06,12.82,46.84,1791.78,128,1782136395.849
tenant_A,145,72.5,13.91,12.07,34.44,45.76,1838.49,128,1782136414.583
tenant_A,127,71.27,12.64,11.79,12.58,47.05,1676.15,128,1782136401.497
tenant_A,184,69.4,12.74,11.89,12.77,44.44,1687.15,128,1782136449.781
tenant_A,314,213.02,15.14,12.25,44.38,46.23,2135.89,128,1782136579.358
tenant_A,22,71.22,13.22,11.85,12.9,46.23,1749.72,128,1782136287.123
tenant_A,60,68.88,16.15,11.92,47.54,50.18,2119.48,128,1782136333.812
tenant_A,166,71.72,16.02,12.39,46.56,70.16,2106.83,128,1782136435.564
tenant_A,242,92.51,13.77,11.87,35.64,46.31,1841.16,128,1782136515.161
tenant_A,309,75.0,13.12,12.09,12.69,46.27,1741.48,128,1782136573.121
tenant_A,498,71.05,13.73,12.18,13.67,46.53,1815.01,128,1782136772.239
tenant_A,519,79.16,13.57,12.24,13.61,46.66,1802.56,128,1782136787.849
tenant_A,25,71.9,14.0,12.23,34.15,45.49,1849.5,128,1782136294.747
tenant_A,204,65.12,12.34,11.49,12.27,45.9,1632.08,128,1782136482.412
tenant_A,514,73.11,12.87,12.09,12.8,44.59,1707.1,128,1782136782.244
tenant_A,543,117.38,14.4,12.16,34.38,50.49,1946.03,128,1782136810.38
tenant_A,29,69.98,12.61,11.73,12.66,46.57,1671.57,128,1782136299.103
tenant_A,64,75.18,14.36,12.3,44.61,46.85,1898.58,128,1782136336.0
tenant_A,149,122.42,14.58,12.27,44.64,46.09,1973.86,128,1782136417.402
tenant_A,312,76.45,14.46,12.08,45.26,46.93,1912.52,128,1782136576.148
tenant_A,319,74.37,15.72,12.29,44.57,73.37,2070.87,128,1782136588.136
tenant_A,423,70.65,14.03,12.2,34.03,46.46,1852.85,128,1782136701.365
tenant_A,99,71.65,15.08,12.25,44.26,47.81,1986.59,128,1782136368.511
