request_id,client_id,tenant_id,slo_class,session_id,round_index,prefix_group,prefix_length,streaming,input_tokens,output_tokens,text_tokens,image_tokens,audio_tokens,video_tokens,reason_ratio,model,deadline_us,server_input_tokens,arrival_time_us,send_time_us,first_chunk_time_us,last_chunk_time_us,num_chunks,status,error_message,finish_reason,x_request_id
0,tenant_A,tenant_A,,,0,,0,true,1024,128,0,0,0,0,0,,0,1010,253045,1782188549620028,1782188549691849,1782188551500666,130,ok,,length,e8a005ea-7506-4c0a-8c05-11286c9e81f6
1,tenant_C,tenant_C,,,0,,0,true,1024,128,0,0,0,0,0,,0,1001,295084,1782188549662688,1782188549745166,1782188551524514,130,ok,,length,e3d5dbea-fd77-4685-96a7-2394520230c9
2,tenant_A,tenant_A,,,0,,0,true,1024,128,0,0,0,0,0,,0,987,393163,1782188549760165,1782188549820359,1782188551572726,130,ok,,length,e85116b0-821d-4a33-a03d-e2df2379b934
3,tenant_B,tenant_B,,,0,,0,true,1024,128,0,0,0,0,0,,0,996,442852,1782188549810181,1782188549874484,1782188551596379,130,ok,,length,18182f50-5ac5-4fe6-92bb-1d04f809aecd
4,tenant_A,tenant_A,,,0,,0,true,1024,128,0,0,0,0,0,,0,1000,501239,1782188549868311,1782188549938314,1782188551632325,130,ok,,length,028933d3-e325-4464-96ea-b2d2b44ddf51
5,tenant_B,tenant_B,,,0,,0,true,1024,128,0,0,0,0,0,,0,977,1028077,1782188550394803,1782188550461656,1782188552224717,130,ok,,length,0afeef08-a4ad-453e-8a3b-e184f4f5f14c
6,tenant_C,tenant_C,,,0,,0,true,1024,128,0,0,0,0,0,,0,985,1079221,1782188550446749,1782188550515789,1782188552248441,130,ok,,length,cfc64b0b-a0f1-492c-9a29-1d74247ada96
7,tenant_C,tenant_C,,,0,,0,true,1024,128,0,0,0,0,0,,0,977,1143155,1782188550510266,1782188550581636,1782188552284208,130,ok,,length,da93675d-488e-47b1-bdee-8458ec051118
8,tenant_C,tenant_C,,,0,,0,true,1024,128,0,0,0,0,0,,0,992,1629088,1782188550996549,1782188551065551,1782188552766879,130,ok,,length,1eac5dda-f6af-4c17-bd82-e8f8497648f8
9,tenant_B,tenant_B,,,0,,0,true,1024,128,0,0,0,0,0,,0,1011,1821521,1782188551188868,1782188551252242,1782188552922507,130,ok,,length,b4da7bef-c61a-4e19-92ca-60d3eda6bf03
10,tenant_C,tenant_C,,,0,,0,true,1024,128,0,0,0,0,0,,0,975,1942640,1782188551309563,1782188551378787,1782188553049412,130,ok,,length,0d282224-a883-4e15-a1e5-d9c8558f1740
11,tenant_B,tenant_B,,,0,,0,true,1024,128,0,0,0,0,0,,0,989,2274976,1782188551642535,1782188551708491,1782188553469250,130,ok,,length,220170b7-6a9e-42a5-b13e-91e671eafea7
12,tenant_A,tenant_A,,,0,,0,true,1024,128,0,0,0,0,0,,0,1001,2425373,1782188551792777,1782188551857246,1782188553589167,130,ok,,length,de0e1474-02f5-4fe2-9a73-1ff4f694fada
13,tenant_B,tenant_B,,,0,,0,true,1024,128,0,0,0,0,0,,0,1001,2533996,1782188551901095,1782188551970898,1782188553673220,130,ok,,length,d1027d76-16bd-4026-85f0-22de79ac6871
14,tenant_C,tenant_C,,,0,,0,true,1024,128,0,0,0,0,0,,0,1004,3138047,1782188552504918,1782188552576445,1782188554398459,130,ok,,length,6b9b9430-20e1-4616-b860-8ab0b75466a0
15,tenant_C,tenant_C,,,0,,0,true,1024,128,0,0,0,0,0,,0,1011,3547743,1782188552914621,1782188552976251,1782188554771949,130,ok,,length,6b4cfa0f-fa3c-41f4-bd24-034e2fd3eb91
16,tenant_B,tenant_B,,,0,,0,true,1024,128,0,0,0,0,0,,0,951,3825703,1782188553193277,1782188553254604,1782188555148311,130,ok,,length,ff48a605-8596-47f2-8f64-86ae99397547
17,tenant_B,tenant_B,,,0,,0,true,1024,128,0,0,0,0,0,,0,986,3931157,1782188553297878,1782188553369925,1782188555233763,130,ok,,length,bc95de00-aed0-42bd-97b7-6555251f0a43
18,tenant_B,tenant_B,,,0,,0,true,1024,128,0,0,0,0,0,,0,996,3949450,1782188553316269,1782188553412654,1782188555245940,130,ok,,length,e8e9b540-11df-4be4-9339-ad104128432f
