tenant_id,request_idx,ttft_ms,mean_itl_ms,p50_itl_ms,p95_itl_ms,p99_itl_ms,e2e_ms,num_output_tokens,start_time
tenant_C,232,68.25,14.4,12.53,35.73,48.06,1896.76,128,1782139424.85
tenant_C,276,72.07,14.56,12.18,44.77,47.91,1920.76,128,1782139453.685
tenant_C,569,72.49,11.5,11.54,11.95,12.27,1532.51,128,1782139621.47
tenant_C,706,169.9,15.2,12.27,45.21,72.47,2100.14,128,1782139691.768
tenant_C,879,84.82,18.22,13.2,49.6,53.33,2399.08,128,1782139783.748
tenant_C,994,102.6,15.22,12.34,45.16,47.69,2035.09,128,1782139837.217
tenant_C,140,67.18,16.21,12.28,45.7,48.55,2125.57,128,1782139378.913
tenant_C,168,77.4,18.05,12.98,47.68,90.77,2369.88,128,1782139391.034
tenant_C,377,100.72,15.41,12.87,45.66,47.89,2057.85,128,1782139504.895
tenant_C,566,73.02,13.98,12.14,34.08,46.12,1848.24,128,1782139619.718
tenant_C,643,70.39,15.13,12.12,47.12,73.79,1992.55,128,1782139656.31
tenant_C,703,70.2,15.3,12.17,12.82,87.07,2013.5,128,1782139690.945
tenant_C,803,65.8,15.5,12.7,45.49,47.95,2034.16,128,1782139747.476
tenant_C,899,67.69,14.47,12.02,45.05,48.68,1905.9,128,1782139792.642
tenant_C,984,105.49,15.82,12.16,45.99,48.21,2115.1,128,1782139833.757
tenant_C,13,69.45,13.42,12.1,12.79,47.69,1774.05,128,1782139316.665
tenant_C,166,160.39,18.53,12.96,47.68,90.76,2514.25,128,1782139390.761
tenant_C,354,69.25,15.69,12.31,45.85,47.99,2061.47,128,1782139495.757
tenant_C,485,116.37,15.75,12.32,46.57,49.5,2116.28,128,1782139564.974
tenant_C,565,78.45,14.23,12.14,43.51,46.31,1885.28,128,1782139618.882
tenant_C,634,166.9,17.33,12.96,46.21,47.71,2368.03,128,1782139652.895
tenant_C,862,77.24,14.35,11.93,45.33,48.36,1899.63,128,1782139776.744
tenant_C,906,79.25,13.7,12.0,12.74,48.83,1819.76,128,1782139795.59
tenant_C,930,68.14,14.85,12.19,45.45,47.17,1954.26,128,1782139808.583
tenant_C,761,64.69,14.86,12.21,44.5,48.06,1951.99,128,1782139722.295
tenant_C,15,67.05,14.53,12.0,47.93,49.3,1912.65,128,1782139319.205
tenant_C,144,106.97,15.29,12.3,45.16,75.05,2049.39,128,1782139380.699
tenant_C,221,84.96,15.07,12.2,44.67,47.67,1999.12,128,1782139419.791
tenant_C,274,109.51,13.93,11.96,35.92,48.59,1878.01,128,1782139451.82
tenant_C,293,75.73,13.74,12.21,14.6,46.23,1821.09,128,1782139464.249
