tenant_id,request_idx,ttft_ms,mean_itl_ms,p50_itl_ms,p95_itl_ms,p99_itl_ms,e2e_ms,num_output_tokens,start_time
tenant_A,1323,69904.34,119.87,32.38,364.5,366.89,85128.02,128,1782138105.28
tenant_A,644,31545.3,120.76,32.65,363.95,368.5,46882.34,128,1782137930.413
tenant_A,1042,53364.1,116.31,32.64,364.19,365.49,68135.39,128,1782138027.818
tenant_A,802,38903.75,119.57,32.42,364.08,366.47,54089.75,128,1782137971.137
tenant_A,1642,90647.19,116.92,32.13,364.39,365.15,105495.52,128,1782138186.227
tenant_A,715,37490.46,119.07,32.53,365.42,373.16,52612.37,128,1782137947.562
tenant_A,1201,61400.68,119.9,32.64,362.92,367.25,76627.74,128,1782138072.473
tenant_A,1603,86531.27,115.95,32.5,364.35,367.63,101256.92,128,1782138178.868
tenant_A,1998,111732.67,116.05,32.25,362.59,365.1,126470.68,128,1782138274.92
tenant_A,419,20593.03,119.57,32.79,363.41,366.32,35778.2,128,1782137875.608
tenant_A,1594,86551.63,115.97,32.58,363.66,367.47,101280.33,128,1782138176.684
tenant_A,284,10316.43,121.2,68.8,360.12,364.23,25709.19,128,1782137839.057
tenant_A,346,15931.01,120.05,43.13,362.62,366.25,31176.76,128,1782137854.832
tenant_A,1188,61769.52,116.74,32.63,362.97,366.82,76595.09,128,1782138069.712
tenant_A,1389,73627.78,116.06,32.48,363.21,365.56,88366.98,128,1782138121.13
tenant_A,295,10007.23,120.33,68.94,357.93,364.52,25289.16,128,1782137840.707
tenant_A,446,22932.57,119.93,36.45,362.83,367.17,38164.19,128,1782137884.427
tenant_A,652,31531.87,138.81,33.53,365.77,370.57,49161.0,128,1782137931.511
tenant_A,829,42878.48,118.66,32.18,363.13,366.82,57948.07,128,1782137975.182
tenant_A,865,44103.41,139.53,32.79,364.21,367.58,61823.37,128,1782137982.939
tenant_A,998,50954.63,115.65,32.39,363.96,366.35,65642.22,128,1782138016.151
tenant_A,1062,52595.43,119.97,32.18,364.56,367.51,67832.01,128,1782138034.444
