request_id,client_id,tenant_id,slo_class,session_id,round_index,prefix_group,prefix_length,streaming,input_tokens,output_tokens,text_tokens,image_tokens,audio_tokens,video_tokens,reason_ratio,model,deadline_us,server_input_tokens,arrival_time_us,send_time_us,first_chunk_time_us,last_chunk_time_us,num_chunks,status,error_message,finish_reason,x_request_id
0,tenant_A,tenant_A,,,0,,0,true,1024,128,0,0,0,0,0,,0,1010,253045,1782184700296206,1782184700369628,1782184701993792,130,ok,,length,780b165c-2321-4c43-87f3-b47956672893
1,tenant_A,tenant_A,,,0,,0,true,1024,128,0,0,0,0,0,,0,987,393163,1782184700436673,1782184700499971,1782184702099343,130,ok,,length,3df624c3-e3b1-4bd2-a1c2-6aa59ac9484d
2,tenant_B,tenant_B,,,0,,0,true,1024,128,0,0,0,0,0,,0,996,442852,1782184700486016,1782184700552857,1782184702122058,130,ok,,length,d779716e-672e-4e7d-af43-8f12f9701a74
3,tenant_A,tenant_A,,,0,,0,true,1024,128,0,0,0,0,0,,0,1000,501239,1782184700544825,1782184700608074,1782184702144806,130,ok,,length,580076b0-d26d-4b9c-8b11-43acb3f09ba6
4,tenant_B,tenant_B,,,0,,0,true,1024,128,0,0,0,0,0,,0,977,1028077,1782184701071047,1782184701132556,1782184702728350,130,ok,,length,9f08567e-a843-4898-bbef-3f8075c33b7d
5,tenant_B,tenant_B,,,0,,0,true,1024,128,0,0,0,0,0,,0,1011,1821521,1782184701864818,1782184701932990,1782184703490337,130,ok,,length,d286450e-3c85-4478-b386-aae527b10913
6,tenant_B,tenant_B,,,0,,0,true,1024,128,0,0,0,0,0,,0,989,2274976,1782184702318494,1782184702379567,1782184703932890,130,ok,,length,e86edfef-29e4-4f07-a626-4d14a5b11b0e
7,tenant_A,tenant_A,,,0,,0,true,1024,128,0,0,0,0,0,,0,1001,2425373,1782184702468557,1782184702535378,1782184704153986,130,ok,,length,26e9e995-9de8-462f-887a-2f4626e0b9a0
8,tenant_B,tenant_B,,,0,,0,true,1024,128,0,0,0,0,0,,0,1001,2533996,1782184702576998,1782184702645593,1782184704236660,130,ok,,length,4e680c05-259a-4a1f-8207-3b2c542adb28
9,tenant_B,tenant_B,,,0,,0,true,1024,128,0,0,0,0,0,,0,951,3825703,1782184703868703,1782184703932916,1782184705746648,130,ok,,length,459ac789-6585-476e-a41a-d99def731efe
10,tenant_B,tenant_B,,,0,,0,true,1024,128,0,0,0,0,0,,0,986,3931157,1782184703974790,1782184704042193,1782184705831020,130,ok,,length,f1dfce22-69ad-4eee-8eb4-8d46a4a78af6
11,tenant_B,tenant_B,,,0,,0,true,1024,128,0,0,0,0,0,,0,996,3949450,1782184703992932,1782184704085791,1782184705843166,130,ok,,length,dd29941e-e649-487f-88d4-6498891321c2
12,tenant_A,tenant_A,,,0,,0,true,1024,128,0,0,0,0,0,,0,994,3975794,1782184704019464,1782184704130511,1782184705854707,130,ok,,length,324fa20d-03ee-4595-8634-eb03282fb783
13,tenant_A,tenant_A,,,0,,0,true,1024,128,0,0,0,0,0,,0,967,4301090,1782184704344305,1782184704403428,1782184706102948,130,ok,,length,457ffce3-39e2-48c8-81ef-b89a1abdf345
14,tenant_B,tenant_B,,,0,,0,true,1024,128,0,0,0,0,0,,0,964,4317337,1782184704360574,1782184704455344,1782184706196762,130,ok,,length,9aab68c9-871b-4b97-bd69-2c5b4fa9bab8
